노선명,size,min,max,mean
1136,185,0.0,2.8819410193275323,1.3006626103695635
1137,1098,0.0,8.548962196749182,3.004053557889084
1138,354,0.0,8.539079036170799,2.9297776305930823
1139,858,0.0,6.857707401522545,2.6440211772553504
1140,342,0.0,5.53096674146985,2.0836070690859123
1141,397,0.0,5.171303462422842,2.2576149759017046
1142,255,0.0,4.544229275594644,1.8205937687801508
1143,531,0.0,10.044170600379081,2.6485396035910735
1144,433,0.0,8.30162126045612,2.778919337536853
1154,300,0.0,7.050799681134238,2.4063906693729407
1155,160,0.0,7.049481921824495,2.6733646639557236
1156,136,0.0,7.049481921824495,2.8515371503544573
1162,253,0.0,6.951347139148637,1.5735700923716451
1164,280,0.0,3.5892415857114632,1.588937149404626
1165,685,0.0,4.795746900442539,1.7511125394445026
1167,594,0.0,9.4441698578727,3.2294277649642726
120,1655,0.0,12.15305863685837,3.968070318871575
121,1251,0.0,12.791835661079386,3.6413726073640755
1213,927,0.0,13.864291826002814,4.20922376581391
1218,1234,0.0,12.22398859898725,4.599838260158978
1221,350,0.0,5.580397016646748,2.431119484724923
1222,592,0.0,7.4861629100219576,2.629716323794903
1224,1555,0.0,13.474547835982257,4.081794080179318
1226,42,0.0,3.014804312734762,1.5590206870484025
1227,738,0.0,9.3553594700918,3.3107329555229144
130,1776,0.0,23.332848217909522,8.197610632488907
140,1591,0.0,29.407704481331997,9.230655158647112
141,2078,0.0,29.178482094772516,8.37433890057532
142,2069,0.0,27.9298031036441,7.27401285135056
143,1999,0.0,18.261209336359528,5.501598572456596
144,1844,0.0,22.570373682337564,6.374086380402975
145,1753,0.0,18.352435349705846,5.534535790323216
146,2899,0.0,24.151072523251386,7.025224494384151
147,2080,0.0,19.995776978831973,5.306721704548347
148,1455,0.0,21.465567499284827,6.435597243213016
150,338,0.0,35.20562587625822,11.100523339088713
17,275,0.0,2.6622660747959057,1.2382318671863235
411,977,0.0,14.76560339959163,3.5807259931984343
472,357,0.0,16.413717081560154,5.103625919236347
500,1244,0.0,18.953598883721426,5.05407288179374
